period,airline,activity,count
201312,United Airlines,Thru / Transit,4265
201307,Air Canada,Enplaned,34158
201108,Cathay Pacific,Enplaned,18209
201309,United Airlines,Enplaned,726568
201705,Emirates,Deplaned,11162
201902,Swiss International,Enplaned,7221
201603,SAS Airlines,Deplaned,6368
201905,Air New Zealand,Deplaned,6889
201808,"COPA Airlines, Inc.",Enplaned,9358
201502,Emirates,Enplaned,10649
201710,Delta Air Lines,Deplaned,162402
201202,AirTran Airways,Deplaned,6925
201907,Delta Air Lines,Deplaned,240561
201008,Philippine Airlines,Enplaned,8254
201106,United Airlines,Enplaned,81444
201802,Air China,Enplaned,8589
201508,Lufthansa German Airlines,Deplaned,24205
201608,Compass Airlines,Deplaned,26984
201312,Southwest Airlines,Deplaned,139293
201005,Mesaba Airlines,Deplaned,231
201401,Horizon Air,Enplaned,5529
201710,Southwest Airlines,Enplaned,159424
201402,Air Canada,Enplaned,19657
201712,China Eastern,Enplaned,10812
201710,Air Berlin,Deplaned,2059
201907,Southwest Airlines,Enplaned,153831
201607,China Airlines,Deplaned,10620
201702,Air China,Enplaned,10556
201705,EVA Airways,Deplaned,18554
201011,Lufthansa German Airlines,Enplaned,16620
201709,Alaska Airlines,Deplaned,72170
201210,Asiana Airlines,Enplaned,8616
201502,EVA Airways,Enplaned,15409
201705,Turkish Airlines,Deplaned,8858
201312,Delta Air Lines,Enplaned,111999
201311,Republic Airlines,Enplaned,80
201505,Air China,Deplaned,8801
201703,China Airlines,Enplaned,8922
201606,Air Canada,Deplaned,45354
201704,Hawaiian Airlines,Deplaned,15799
201710,Sun Country Airlines,Enplaned,7149
201010,US Airways,Enplaned,67571
201907,Sun Country Airlines,Enplaned,14325
201909,Air Canada,Enplaned,44757
201308,SAS Airlines,Enplaned,6533
201609,Hawaiian Airlines,Deplaned,15751
201901,China Airlines,Deplaned,10502
201406,Philippine Airlines,Deplaned,10698
201005,Alaska Airlines,Deplaned,34519
201108,JetBlue Airways,Deplaned,37972
201111,Virgin Atlantic,Deplaned,7104
201111,All Nippon Airways,Enplaned,6403
201502,Singapore Airlines,Deplaned,11146
201404,Air New Zealand,Enplaned,6931
201705,Singapore Airlines,Enplaned,14510
201708,Japan Airlines,Enplaned,6156
201512,JetBlue Airways,Deplaned,63801
201708,China Southern,Enplaned,9975
201501,JetBlue Airways,Deplaned,46995
201509,Virgin Atlantic,Enplaned,15621
201509,All Nippon Airways,Deplaned,6869
201003,Virgin America,Deplaned,102834
201609,WOW Air,Enplaned,5961
201606,Etihad Airways,Enplaned,6436
201109,Aeromexico,Deplaned,2921
201302,Sun Country Airlines,Enplaned,2283
201307,Southwest Airlines,Thru / Transit,377
201810,Sun Country Airlines,Deplaned,4917
201810,United Airlines,Thru / Transit,401
201704,WOW Air,Enplaned,8340
201805,Asiana Airlines,Deplaned,7750
201009,KLM Royal Dutch Airlines,Deplaned,10827
201108,Horizon Air,Deplaned,6262
201311,Southwest Airlines,Enplaned,127970
201606,Aer Lingus,Enplaned,7778
201106,Air Canada,Deplaned,27904
201204,Hawaiian Airlines,Enplaned,7634
201612,China Airlines,Enplaned,10467
201302,Southwest Airlines,Enplaned,106733
201203,Lufthansa German Airlines,Enplaned,18379
201309,Air Canada,Deplaned,30091
201810,Southwest Airlines,Deplaned,163451
201301,Lufthansa German Airlines,Enplaned,16917
201808,Compass Airlines,Deplaned,22865
201504,Air China,Enplaned,6218
201903,TACA,Deplaned,6923
201008,US Airways,Enplaned,66135
201307,United Airlines,Deplaned,819779
201909,Aer Lingus,Deplaned,8555
201311,Sun Country Airlines,Enplaned,5023
201401,Cathay Pacific,Deplaned,19968
201103,Qantas Airways,Enplaned,3326
201002,Japan Airlines,Deplaned,5554
201905,Jazz Aviation,Deplaned,8255
201003,Aeromexico,Deplaned,3000
201409,Frontier Airlines,Enplaned,18782
